AN_BASE,NM_GRANDE_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,NM_AREA_BASICA,NM_SUBAREA_CONHECIMENTO,NM_ESPECIALIDADE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,IN_REDE,SG_ENTIDADE_ENSINO_REDE,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,DS_ORGANIZACAO_ACADEMICA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,NM_PROGRAMA_IDIOMA,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,AN_INICIO_CURSO,DS_SITUACAO_PROGRAMA,DT_SITUACAO_PROGRAMA,ID_ADD_FOTO_PROGRAMA_IES,ID_ADD_FOTO_PROGRAMA,PAIS
2019,ENGENHARIAS,ENGENHARIA NUCLEAR,INSTRUMENTAÇÃO PARA MEDIDA E CONTROLE DE RADIAÇÃO,APLICAÇÕES DE RADIOISÓTOPOS,INSTRUMENTAÇÃO PARA MEDIDA E CONTROLE DE RADIAÇÃO,12,ENGENHARIAS II,CDTN,CENTRO DE DESENVOLVIMENTO DA TECNOLOGIA NUCLEAR,NÃO,NA,FEDERAL,PÚBLICO,NÃO INFORMADO,SUDESTE,MG,BELO HORIZONTE,ACADÊMICO,32069014001P9,CIÊNCIA E TECNOLOGIA DAS RADIAÇÕES, MINERAIS E MATERIAIS,SCIENCE AND TECHNOLOGY OF RADIATIONS, MINERALS AND MATERIALS,4,2002,2002/2010,EM FUNCIONAMENTO,27Sep2012 0:00:00,146697,83328,BRASIL
2019,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA APLICADA,ECOLOGIA APLICADA,NÃO SE APLICA,7,BIODIVERSIDADE,UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,MG,LAVRAS,ACADÊMICO,32004010017P3,ECOLOGIA APLICADA,APPLIED ECOLOGY,5,2006,2006/2009,EM FUNCIONAMENTO,01Jun2010 0:00:00,146711,83341,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,USP,UNIVERSIDADE DE SÃO PAULO,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,ACADÊMICO,33002010214P0,SISTEMAS DE INFORMAÇÃO,INFORMATION SYSTEMS,4,2010,2010/2019,EM FUNCIONAMENTO,23Oct2012 0:00:00,152976,87406,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,FÍSICA,FÍSICA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,UFRPE,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,PE,RECIFE,ACADÊMICO,25003011024P0,FÍSICA APLICADA,APPLIED PHYSICS,3,2009,2009,EM FUNCIONAMENTO,30Dec2013 0:00:00,153716,88008,BRASIL
2019,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA,NÃO SE APLICA,NÃO SE APLICA,15,MEDICINA I,UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,PROFISSIONAL,33009015074P8,TECNOLOGIAS E ATENÇÃO À SAÚDE,TECHNOLOGY AND HEALTH CARE,2,2011,2011,EM DESATIVACAO,24May2019 0:00:00,159962,94787,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,NÃO SE APLICA,NÃO SE APLICA,45,INTERDISCIPLINAR,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,SIM,"LNCC,INMETRO,FIOCRUZ",FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,RJ,RIO DE JANEIRO,ACADÊMICO,31001017177P5,NANOBIOSSISTEMAS,NANOBIOSISTEMS,A,2019,2019/2019,EM FUNCIONAMENTO,23Sep2019 0:00:00,158961,93924,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,UNIOESTE,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUL,PR,MARECHAL CÂNDIDO RONDON,ACADÊMICO,40015017022P4,DESENVOLVIMENTO RURAL SUSTENTÁVEL,SUSTAINABLE RURAL DEVELOPMENT,4,2012,2012/2017,EM FUNCIONAMENTO,21May2013 0:00:00,158967,93930,BRASIL
2019,CIÊNCIAS BIOLÓGICAS,BIOLOGIA GERAL,BIOLOGIA GERAL,NÃO SE APLICA,NÃO SE APLICA,6,CIÊNCIAS BIOLÓGICAS I,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,PE,RECIFE,ACADÊMICO,25001019045P4,CIÊNCIAS BIOLÓGICAS,GRADUATE PROGRAM OF BIOLOGICAL SCIENCES,5,1994,2004/1994,EM FUNCIONAMENTO,01Jun2010 0:00:00,158968,93931,BRASIL
2019,LINGÜÍSTICA, LETRAS E ARTES,ARTES,MÚSICA,MÚSICA,NÃO SE APLICA,11,ARTES,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,RS,PORTO ALEGRE,ACADÊMICO,42001013044P6,MÚSICA,POST-GRADUATE MUSIC PROGRAM,7,1987,1987/1995,EM FUNCIONAMENTO,06May2013 0:00:00,158974,93937,BRASIL
2019,CIÊNCIAS BIOLÓGICAS,BOTÂNICA,BOTÂNICA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,JBRJ,INSTITUTO DE PESQUISA JARDIM BOTANICO DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,NÃO INFORMADO,SUDESTE,RJ,RIO DE JANEIRO,ACADÊMICO,31057012001P1,BOTÂNICA,BOTANY,4,2003,2003/2003,EM FUNCIONAMENTO,05Aug2013 0:00:00,159115,94024,BRASIL
2019,ENGENHARIAS,ENGENHARIA QUÍMICA,ENGENHARIA QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,12,ENGENHARIAS II,UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,RN,NATAL,ACADÊMICO,23001011011P7,ENGENHARIA QUÍMICA,PROGRAM OF POST-GRADUATION IN CHEMICAL ENGINEERING,5,1988,1988/1998,EM FUNCIONAMENTO,07Aug2010 0:00:00,159137,94026,BRASIL
2019,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,ES,VITÓRIA,ACADÊMICO,30001013028P7,PSICOLOGIA INSTITUCIONAL,INSTITUTIONAL PSYCHOLOGY,4,2007,2007,EM FUNCIONAMENTO,24Sep2013 0:00:00,159142,94031,BRASIL
2019,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018001P0,EDUCAÇÃO,PROGRAMME POSTGRADUATE IN EDUCATION,4,2005,2005/2019,EM FUNCIONAMENTO,10Apr2012 0:00:00,156920,92270,BRASIL
2019,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,UNIT-SE,UNIVERSIDADE TIRADENTES,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,NORDESTE,SE,ARACAJU,ACADÊMICO,27002012004P8,BIOTECNOLOGIA INDUSTRIAL,INDUSTRIAL BIOTECHNOLOGY GRADUATE PROGRAM,5,2011,2011/2014,EM FUNCIONAMENTO,13Dec2013 0:00:00,156922,92272,BRASIL
2019,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,NÃO SE APLICA,NÃO SE APLICA,18,ODONTOLOGIA,UNOPAR,UNIVERSIDADE PITÁGORAS UNOPAR,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUL,PR,LONDRINA,ACADÊMICO,40024016001P2,ODONTOLOGIA,GRADUATE PROGRAM IN DENTISTRY,4,2003,2003/2011,EM FUNCIONAMENTO,14Mar2013 0:00:00,156923,92273,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,UNB,UNIVERSIDADE DE BRASÍLIA,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,CENTRO-OESTE,DF,BRASÍLIA,ACADÊMICO,53001010063P5,AGRONEGÓCIOS,AGRIBUSINESS,4,2006,2006,EM FUNCIONAMENTO,12Dec2012 0:00:00,156924,92274,BRASIL
2019,ENGENHARIAS,ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,CE,FORTALEZA,ACADÊMICO,22001018032P1,ENGENHARIA ELÉTRICA,GRADUATE PROGRAM IN ELECTRICAL ENGINEERING (UFC),4,1999,1999/2007,EM FUNCIONAMENTO,01Jun2010 0:00:00,156925,92275,BRASIL
2019,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,UNISUAM,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,NÃO,NA,PARTICULAR,PRIVADO,CENTRO UNIVERSITÁRIO,SUDESTE,RJ,RIO DE JANEIRO,PROFISSIONAL,31063012001P8,DESENVOLVIMENTO LOCAL,LOCAL DEVELOPMENT,4,2006,2006,EM FUNCIONAMENTO,30Oct2013 0:00:00,158086,93295,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,SC,FLORIANÓPOLIS,ACADÊMICO,41001010011P1,DIREITO,LAW,6,1974,1974/1984,EM FUNCIONAMENTO,26Dec2012 0:00:00,158093,93300,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,FÍSICA,FÍSICA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,UFABC,UNIVERSIDADE FEDERAL DO ABC,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SANTO ANDRÉ,ACADÊMICO,33144010001P7,FÍSICA,PHD PROGRAM IN PHYSICS,5,2007,2007/2009,EM FUNCIONAMENTO,17Aug2012 0:00:00,158100,93305,BRASIL
2019,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,PR,PALOTINA,ACADÊMICO,40001016083P6,BIOTECNOLOGIA,BIOTECHNOLOGY,3,2015,2015,EM FUNCIONAMENTO,26Jan2015 0:00:00,155356,90484,BRASIL
2019,CIÊNCIAS BIOLÓGICAS,PARASITOLOGIA,PARASITOLOGIA,NÃO SE APLICA,NÃO SE APLICA,9,CIÊNCIAS BIOLÓGICAS III,USP,UNIVERSIDADE DE SÃO PAULO,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,ACADÊMICO,33002010026P9,CIÊNCIAS (BIOLOGIA DA RELAÇÃO PATÓGENO-HOSPEDEIRO),BIOLOGY OF HOST-PATHOGEN INTERACTIONS,7,1976,1976/1976,EM FUNCIONAMENTO,18Jun2012 0:00:00,155382,90530,BRASIL
2019,CIÊNCIAS DA SAÚDE,MEDICINA,ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,NÃO SE APLICA,16,MEDICINA II,USP,UNIVERSIDADE DE SÃO PAULO,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,ACADÊMICO,33002010056P5,PATOLOGIA,PATHOLOGY,5,1975,1975,EM FUNCIONAMENTO,01Jun2010 0:00:00,155390,90538,BRASIL
2019,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORTE,AM,HUMAITÁ,ACADÊMICO,12001015064P2,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,3,2015,2015,EM FUNCIONAMENTO,31Mar2015 0:00:00,155393,90541,BRASIL
2019,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,RS,PORTO ALEGRE,ACADÊMICO,42001013065P3,GEOGRAFIA,POSTGRADUATE IN GEOGRAPHY,6,1998,1998/2004,EM FUNCIONAMENTO,26Nov2013 0:00:00,154974,89729,BRASIL
2019,ENGENHARIAS,ENGENHARIA DE PRODUÇÃO,ENGENHARIA DE PRODUÇÃO,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,UNESP-GUAR,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( GUARATINGUETÁ ),NÃO,NA,ESTADUAL,PÚBLICO,NÃO INFORMADO,SUDESTE,SP,GUARATINGUETÁ,PROFISSIONAL,33004080052P0,ENGENHARIA DE PRODUÇÃO,PRODUCTION ENGINEERING GRADUATE PROGRAM,3,2014,2014,EM FUNCIONAMENTO,20Sep2013 0:00:00,155084,89786,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,ADMINISTRAÇÃO,NÃO SE APLICA,NÃO SE APLICA,27,ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO,UNISUL,UNIVERSIDADE DO SUL DE SANTA CATARINA,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUL,SC,TUBARÃO,ACADÊMICO,41008014003P0,ADMINISTRAÇÃO,ADMINISTRATION,4,2007,2007/2019,EM FUNCIONAMENTO,31Oct2013 0:00:00,152716,87191,BRASIL
2019,LINGÜÍSTICA, LETRAS E ARTES,LINGÜÍSTICA,LINGÜÍSTICA APLICADA,LINGÜÍSTICA APLICADA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,PUC/SP,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUDESTE,SP,SÃO PAULO,ACADÊMICO,33005010023P2,LINGÜÍSTICA APLICADA E ESTUDOS DA LINGUAGEM,GRADUATE PROGRAM IN APPLIED LINGUISTICS AND LANGUAGE STUDIES,5,1970,1970/1979,EM FUNCIONAMENTO,04Sep2013 0:00:00,152599,87205,BRASIL
2019,ENGENHARIAS,ENGENHARIA BIOMÉDICA,ENGENHARIA BIOMÉDICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,UNB,UNIVERSIDADE DE BRASÍLIA,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,CENTRO-OESTE,DF,BRASÍLIA,ACADÊMICO,53001010083P6,ENGENHARIA BIOMÉDICA,BIOMEDICAL ENGINEERING,3,2010,2010,EM FUNCIONAMENTO,06Sep2013 0:00:00,152637,87223,BRASIL
2019,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,RS,PELOTAS,ACADÊMICO,42003016036P6,HISTÓRIA,POST-GRADUATE PROGRAMS IN HISTORY AT THE FEDERAL UNIVERSITY OF PELOTAS,4,2010,2010/2019,EM FUNCIONAMENTO,03Dec2013 0:00:00,152858,87364,BRASIL
2019,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,NORDESTE,RN,MOSSORÓ,ACADÊMICO,23002018006P0,EDUCAÇÃO,GRADUATE IN EDUCATION,3,2011,2011,EM FUNCIONAMENTO,04Jan2013 0:00:00,152859,87365,BRASIL
2019,CIÊNCIAS DA SAÚDE,MEDICINA,ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,NÃO SE APLICA,16,MEDICINA II,UFBA,UNIVERSIDADE FEDERAL DA BAHIA,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,BA,SALVADOR,ACADÊMICO,28001010011P4,PATOLOGIA HUMANA,HUMAN PATHOLOGY,6,1973,1973/1988,EM FUNCIONAMENTO,22Aug2013 0:00:00,156716,92079,BRASIL
2019,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,PR,CURITIBA,ACADÊMICO,40001016068P7,EDUCAÇÃO EM CIÊNCIAS E EM MATEMÁTICA,EDUCATION IN SCIENCE AND MATHEMATICS,4,2010,2010/2019,EM FUNCIONAMENTO,08Mar2010 0:00:00,157617,92865,BRASIL
2019,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,AL,MACEIÓ,ACADÊMICO,26001012032P2,PSICOLOGIA,POST GRADUATION PROGRAM IN PSYCHOLOGY,3,2011,2011,EM FUNCIONAMENTO,12Nov2013 0:00:00,157608,92884,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,ADMINISTRAÇÃO,NÃO SE APLICA,NÃO SE APLICA,27,ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO,UNAMA,UNIVERSIDADE DA AMAZÔNIA,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15004015005P3,ADMINISTRAÇÃO,BUSINESS ADMINISTRATION GRADUATE PROGRAM,4,2009,2009/2014,EM FUNCIONAMENTO,27Feb2014 0:00:00,157609,92885,BRASIL
2019,CIÊNCIAS DA SAÚDE,MEDICINA,DOENÇAS INFECCIOSAS E PARASITÁRIAS,CLÍNICA MÉDICA,DOENÇAS INFECCIOSAS E PARASITÁRIAS,16,MEDICINA II,UNIFENAS,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUDESTE,MG,ALFENAS,PROFISSIONAL,32016018004P0,ENSINO EM SAÚDE,HEALTH EDUCATION,3,2016,2016,EM FUNCIONAMENTO,05Oct2015 0:00:00,155134,89922,BRASIL
2019,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,IFRJ,INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA,SUDESTE,RJ,NILÓPOLIS,ACADÊMICO,31050018003P0,ENSINO DE CIÊNCIAS,ACADEMIC MASTER IN SCIENCE TEACHING,3,2014,2014,EM FUNCIONAMENTO,05Dec2013 0:00:00,155159,89948,BRASIL
2019,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,UDESC,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUL,SC,FLORIANÓPOLIS,ACADÊMICO,41002016013P7,HISTÓRIA,POSTGRADUATE HISTORY PROGRAM,5,2007,2007/2014,EM FUNCIONAMENTO,12Feb2014 0:00:00,155162,89951,BRASIL
2019,CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,ENGENHARIA DE ALIMENTOS,ENGENHARIA DE ALIMENTOS,NÃO SE APLICA,25,CIÊNCIA DE ALIMENTOS,UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,NÃO,NA,ESTADUAL,PÚBLICO,UNIVERSIDADE,SUL,PR,MARINGÁ,ACADÊMICO,40004015073P0,ENGENHARIA DE ALIMENTOS,FOOD ENGINEERING,3,2016,2016,EM FUNCIONAMENTO,10Feb2016 0:00:00,155164,89953,BRASIL
2019,LINGÜÍSTICA, LETRAS E ARTES,LINGÜÍSTICA,LINGÜÍSTICA,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORDESTE,CE,FORTALEZA,ACADÊMICO,22001018024P9,LINGÜÍSTICA,GRADUATE PROGRAM IN LINGUISTICS,5,1993,1993/2003,EM FUNCIONAMENTO,12Nov2013 0:00:00,155182,89961,BRASIL
2019,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,UTP,UNIVERSIDADE TUIUTI DO PARANÁ,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUL,PR,CURITIBA,ACADÊMICO,40020010002P3,EDUCAÇÃO,EDUCATION,5,1999,1999/2010,EM FUNCIONAMENTO,09Nov2012 0:00:00,157208,92488,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,UNIFAL,UNIVERSIDADE FEDERAL DE ALFENAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,MG,VARGINHA,ACADÊMICO,32011016012P0,GESTÃO PÚBLICA E SOCIEDADE,PUBLIC MANAGEMENT AND SOCIETY,3,2012,2012,EM FUNCIONAMENTO,07Aug2012 0:00:00,157328,92606,BRASIL
2019,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,RJ,SEROPÉDICA,ACADÊMICO,31002013020P5,EDUCAÇÃO, CONTEXTOS CONTEMPORÂNEOS E DEMANDAS POPULARES,EDUCATION, CONTEMPORARY CONTEXTS AND POPULAR DEMANDS,4,2009,2009/2015,EM FUNCIONAMENTO,11Jan2013 0:00:00,160043,94842,BRASIL
2019,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,48,BIOTECNOLOGIA,FUNED,FUNDAÇÃO EZEQUIEL DIAS,NÃO,NA,ESTADUAL,PÚBLICO,NÃO INFORMADO,SUDESTE,MG,BELO HORIZONTE,PROFISSIONAL,32148011001P6,BIOTECNOLOGIA,BIOTECHNOLOGY,A,2019,2019,EM FUNCIONAMENTO,11Mar2019 0:00:00,160079,94863,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,RS,RIO GRANDE,ACADÊMICO,42004012027P3,DIREITO E JUSTIÇA SOCIAL,LAW AND SOCIAL JUSTICE,3,2014,2014,EM FUNCIONAMENTO,16Jan2014 0:00:00,155651,90914,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,NÃO SE APLICA,NÃO SE APLICA,4,QUÍMICA,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015002P7,QUÍMICA,POSTGRADUATE PROGRAM IN CHEMISTRY,4,1987,1987/2007,EM FUNCIONAMENTO,13Jun2013 0:00:00,155657,90924,BRASIL
2019,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,FUPF,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,NÃO,NA,PARTICULAR,PRIVADO,UNIVERSIDADE,SUL,RS,PASSO FUNDO,ACADÊMICO,42009014001P6,AGRONOMIA,AGRONOMY POSTGRADUATE PROGRAM,4,1996,1996/2004,EM FUNCIONAMENTO,07May2012 0:00:00,155659,90926,BRASIL
2019,CIÊNCIAS EXATAS E DA TERRA,FÍSICA,FÍSICA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,CBPF,CENTRO BRASILEIRO DE PESQUISAS FÍSICAS,NÃO,NA,FEDERAL,PÚBLICO,NÃO INFORMADO,SUDESTE,RJ,RIO DE JANEIRO,PROFISSIONAL,31009018003P8,FÍSICA,PROFESSIONAL MASTER´S PROGRAM IN PHYSICS,4,1999,1999,EM FUNCIONAMENTO,19Aug2013 0:00:00,155665,90932,BRASIL
